id_vente,nombre,poids,CA,nom,mois,nom_site,remise,profit,canal,mode_paiement,percentage_CB,percentage_Esp̬ces,percentage_Ch̬que,percentage_Virement,percentage_Cryptomonnaie
213485,49938,926,201433,Carambar,janv-02,Cassis_H,9.69928833,60429.9,Physique,CB,71.74,14.49,7.25,4.35,2.17
213486,50092,1009,200431,Dragibus,janv-00,Cassis_H,19.62070225,60129.3,Physique,CB,97.69,1.18,0.59,0.36,0.18
213487,50016,1034,203240,Dragibus,janv-01,Cassis_H,8.652505996,60972,Physique,Esp̬ces,32.92,63.17,2.06,1.23,0.62
213488,49952,1008,202899,Dragibus,janv-00,Roubaix_H,6.609777634,60869.7,Livraison,CB,58.93,21.06,10.53,6.32,3.16
213489,50011,1157,202215,Carambar,juin-02,Cassis_H,5.30713756,60664.5,Physique,Ch̬que,5.48,0.69,93.53,0.21,0.1
213490,50018,933,203111,Dragibus,janv-01,Roubaix_H,16.53560523,60933.3,Click & Collect,CB,81.95,9.26,4.63,2.78,1.39
213491,50085,980,201368,Dragibus,janv-00,La_pause_bonbon,16.043402,60410.4,Vente en gros,CB,57.64,21.72,10.86,6.52,3.26
213492,50010,956,202652,Carambar,Nov-04,Bron_H,14.61100131,60795.6,Physique,CB,76.97,11.81,5.91,3.54,1.77
213493,49936,946,201786,Carambar,Nov-05,Bron_H,14.09796836,60535.8,Physique,CB,76.52,12.04,6.02,3.61,1.81
213494,50226,933,202587,Carambar,janv-03,Cassis_H,10.19805377,60776.1,Click & Collect,CB,66.21,17.33,8.66,5.2,2.6
213495,49951,990,201620,Carambar,janv-04,Cassis_H,16.43000178,60486,Drive,CB,96.45,1.82,0.91,0.55,0.27
213496,50140,1039,202906,Carambar,janv-05,Cassis_H,19.80673656,60871.8,Vente en gros,Esp̬ces,7.52,91.58,0.47,0.28,0.14
213497,49992,1075,201268,Dragibus,janv-01,La_pause_bonbon,14.09290574,60380.4,Drive,CB,52.9,24.16,12.08,7.25,3.62
213498,50017,1013,201698,Arlequin,janv-00,Bron_H,16.77249503,60509.4,Livraison,Esp̬ces,2.37,97.35,0.15,0.09,0.04
213499,50308,987,202824,Arlequin,janv-01,Bron_H,16.76497115,60847.2,Physique,CB,74.3,13.18,6.59,3.95,1.98
213500,49882,1012,202291,Carambar,Nov-06,Bron_H,14.67417,60687.3,Livraison,CB,88.03,6.14,3.07,1.84,0.92
213501,49958,1072,201474,Carambar,Nov-07,Bron_H,15.50162066,60442.2,Drive,CB,56.42,22.35,11.17,6.7,3.35
213502,49964,971,202659,Carambar,janv-06,Cassis_H,14.2965066,60797.7,Drive,CB,77.49,11.54,5.77,3.46,1.73
213503,49948,971,202177,Carambar,janv-07,Cassis_H,10.25066212,60653.1,Livraison,CB,93.62,3.27,1.64,0.98,0.49
213504,50142,1037,202068,Dragibus,janv-08,Neuilly_Sup,19.88111247,60620.4,Click & Collect,CB,60.59,20.21,10.11,6.06,3.03
213505,50114,1078,203403,Carambar,avr-02,Bron_H,7.266031069,61020.9,Click & Collect,CB,86.5,6.92,3.46,2.08,1.04
213506,50029,970,202123,Carambar,mai-02,Bron_H,17.16604805,60636.9,Physique,CB,65.59,17.65,8.82,5.29,2.65
213507,50089,1041,202011,Carambar,Sep-02,Bron_H,16.02270683,60603.3,Physique,Cryptomonnaie,14.29,1.79,0.89,0.54,82.49
213508,49920,1036,201576,Carambar,Oct-02,Bron_H,10.13202795,60472.8,Physique,CB,75.88,12.37,6.18,3.71,1.86
213509,50126,1014,202268,Guimauve,janv-08,Royal_bonbon,14.35010586,60680.4,Drive,CB,61.23,19.88,9.94,5.96,2.98
213510,49990,1038,202412,Dragibus,janv-08,Royal_bonbon,12.14399511,60723.6,Drive,CB,79.42,10.56,5.28,3.17,1.58
213511,42443.05,632.87,200924,Carambar,janv-11,Cassis_H,13.74951264,60277.2,Physique,CB,61.01,19.99,10,6,3
213512,49971,913,202114,Carambar,avr-03,Bron_H,15.74755722,60634.2,Click & Collect,CB,81.56,9.46,4.73,2.84,1.42
213513,49929,1004,202885,Carambar,mai-03,Bron_H,17.15494135,60865.5,Physique,CB,95.27,2.43,1.21,0.73,0.36
213514,50122,1022,202881,Carambar,Sep-03,Bron_H,11.47873587,60864.3,Vente en gros,Esp̬ces,41.53,53.54,2.6,1.56,0.78
213515,50098,956,203019,Carambar,Oct-03,Bron_H,9.57736338,60905.7,Vente en gros,CB,83.45,8.49,4.24,2.55,1.27
213516,34918.1,582.87,202126,Carambar,janv-12,Cassis_H,11.59118028,60637.8,Physique,CB,56.62,22.25,11.12,6.67,3.34
213517,27474.7,663.43,201222,Carambar,janv-13,Cassis_H,19.22928066,60366.6,Drive,Ch̬que,18.16,2.27,78.55,0.68,0.34
213518,19996,671.62,202253,Carambar,janv-14,Cassis_H,18.49967146,60675.9,Livraison,CB,89.23,5.52,2.76,1.66,0.83
213519,50034,975,201196,Carambar,avr-04,Bron_H,7.745585455,60358.8,Drive,Esp̬ces,36.18,59.52,2.26,1.36,0.68
213520,49991,1058,202060,Carambar,mai-04,Bron_H,6.320311701,60618,Livraison,CB,71.55,14.59,7.29,4.38,2.19
213521,49889,924,202177,Carambar,Sep-04,Bron_H,14.27157675,60653.1,Physique,CB,73.35,13.67,6.83,4.1,2.05
213522,49999,1052,200704,Carambar,Oct-04,Bron_H,13.78594679,60211.2,Livraison,CB,83.67,8.38,4.19,2.51,1.26
213523,49990,968,202051,Arlequin,janv-00,Roubaix_H,15.71727956,60615.3,Physique,Virement,37.37,4.67,2.34,54.92,0.7
213524,50130,1022,202990,Carambar,janv-02,Roubaix_H,18.96835807,60897,Livraison,CB,66.97,16.94,8.47,5.08,2.54
213525,49956,1069,201860,Carambar,avr-05,Bron_H,15.01924185,60558,Physique,Esp̬ces,33.58,62.43,2.1,1.26,0.63
213526,49942,971,201201,Carambar,mai-05,Bron_H,5.632502894,60360.3,Physique,CB,72.43,14.14,7.07,4.24,2.12
213527,49937,919,203157,Carambar,Sep-05,Bron_H,18.88227802,60947.1,Click & Collect,CB,63.93,18.5,9.25,5.55,2.77
213528,49999,988,202415,Carambar,Oct-05,Bron_H,15.72523975,60724.5,Drive,CB,96.16,1.97,0.98,0.59,0.3
213529,49975,978,201970,Arlequin,janv-08,Royal_bonbon,15.91784437,60591,Physique,CB,93.07,3.56,1.78,1.07,0.53
213530,49872,997,201880,Langue de chat,janv-08,Bron_H,9.131526837,60564,Click & Collect,CB,52.53,24.34,12.17,7.3,3.65
213531,49900,1069,202497,Carambar,janv-03,Roubaix_H,6.457456583,60749.1,Livraison,Cryptomonnaie,6.69,0.84,0.42,0.25,91.8
213532,50115,1034,203332,Carambar,janv-04,Roubaix_H,15.65893283,60999.6,Physique,Virement,3.05,0.38,0.19,96.32,0.06
213533,50037,1005,202224,Carambar,janv-05,Roubaix_H,6.963060697,60667.2,Physique,Esp̬ces,37.26,58.32,2.33,1.4,0.7
213534,49957,949,203300,Carambar,avr-06,Bron_H,14.09268038,60990,Physique,CB,60.69,20.16,10.08,6.05,3.02
213535,50124,943,201901,Carambar,mai-06,Bron_H,11.02771576,60570.3,Livraison,CB,52.93,24.14,12.07,7.24,3.62
213536,50093,1012,202523,Carambar,juin-03,Roubaix_H,10.52681072,60756.9,Click & Collect,CB,99.27,0.38,0.19,0.11,0.06
213537,49900,987,201323,Carambar,juin-04,Roubaix_H,8.304706042,60396.9,Physique,CB,89.2,5.54,2.77,1.66,0.83
213538,49949,997,202060,Carambar,juin-05,Roubaix_H,15.89657528,60618,Drive,CB,71.15,14.79,7.4,4.44,2.22
213539,49950,1069,202283,Carambar,Sep-06,Bron_H,14.16838303,60684.9,Livraison,Virement,0.19,0.02,0.01,99.77,0
213540,50052,933,202435,Carambar,Oct-06,Bron_H,11.01641663,60730.5,Drive,CB,85.92,7.22,3.61,2.17,1.08
213541,50093,1009,202724,Carambar,janv-06,Roubaix_H,19.33894185,60817.2,Livraison,CB,64.84,18.03,9.02,5.41,2.7
213542,49876,1046,202064,Carambar,janv-07,Roubaix_H,9.061198342,60619.2,Drive,Virement,17.44,2.18,1.09,78.96,0.33
213543,49943,965,201775,Carambar,avr-07,Bron_H,16.09281641,60532.5,Click & Collect,CB,87.4,6.46,3.23,1.94,0.97
213544,49743,1045,202012,Carambar,mai-07,Bron_H,5.569420264,60603.6,Click & Collect,CB,79.21,10.66,5.33,3.2,1.6
213545,49957,1076,202028,Carambar,juin-06,Roubaix_H,8.367325633,60608.4,Livraison,CB,92.64,3.78,1.89,1.13,0.57
213546,50098,1016,201861,Carambar,juin-07,Roubaix_H,9.506747728,60558.3,Vente en gros,CB,98.04,1.01,0.5,0.3,0.15
213547,50039,1123,201527,Carambar,Sep-07,Bron_H,15.86948165,60458.1,Livraison,CB,59.29,20.88,10.44,6.26,3.13
213548,49821,1069,201592,Carambar,Oct-07,Bron_H,18.16131898,60477.6,Physique,CB,83.76,8.33,4.16,2.5,1.25
213549,50040,946,201642,Dragibus,fevr-08,Bron_H,11.44723833,60492.6,Drive,CB,55.99,22.57,11.28,6.77,3.39
213550,50058,1037,202611,Carambar,fevr-08,Roubaix_E,5.959292184,60783.3,Physique,Esp̬ces,33.69,62.31,2.11,1.26,0.63
213551,49955,913,201664,Fraise tagada,janv-04,Bron_H,9.044507591,60499.2,Physique,CB,80.97,9.76,4.88,2.93,1.46
213552,42576.5,500.45,203710,Carambar,avr-11,Bron_H,18.23319558,61113,Physique,CB,79.18,10.68,5.34,3.2,1.6
213553,42596.05,635.71,202348,Carambar,mai-11,Bron_H,18.78449458,60704.4,Physique,CB,96.74,1.67,0.84,0.5,0.25
213554,42596.9,691.16,200999,Carambar,juin-11,Bron_E,12.2468544,60299.7,Drive,CB,85.81,7.28,3.64,2.18,1.09
213555,42602.85,665.26,203063,Carambar,Sep-11,Bron_H,11.56181178,60918.9,Click & Collect,CB,69.79,15.49,7.75,4.65,2.32
213556,42408.2,598.41,201877,Carambar,Oct-11,Bron_H,19.03221637,60563.1,Physique,CB,65,17.95,8.97,5.38,2.69
213557,50180,994,202291,Fraise tagada,janv-04,Cassis_H,6.195982871,60687.3,Physique,CB,87.59,6.36,3.18,1.91,0.95
213558,49887,956,202692,Fraise tagada,janv-04,Roubaix_H,15.38928897,60807.6,Livraison,CB,72.91,13.89,6.95,4.17,2.08
213559,50159,1025,202656,Fraise tagada,janv-04,La_pause_bonbon,5.83419067,60796.8,Vente en gros,Cryptomonnaie,0.16,0.02,0.01,0.01,99.8
213560,34900.6,554.71,202735,Carambar,avr-12,Bron_H,17.22349014,60820.5,Click & Collect,CB,60.66,20.18,10.09,6.05,3.03
213561,34981.8,546.79,201689,Carambar,mai-12,Bron_H,9.451594476,60506.7,Physique,CB,96.66,1.71,0.86,0.51,0.26
213562,50000,526.28,202122,Dragibus,juin-11,Bron_E,9.359632429,60636.6,Drive,Esp̬ces,5.4,93.96,0.34,0.2,0.1
213563,50286,1008,202008,Dragibus,fevr-08,Roubaix_E,13.7232868,60602.4,Physique,CB,57.89,21.6,10.8,6.48,3.24
213564,50118,985,202102,Dragibus,fevr-08,Roubaix_H,9.074060558,60630.6,Click & Collect,Esp̬ces,13.25,85.18,0.83,0.5,0.25
213565,34986.7,559.4,202424,Carambar,Sep-12,Bron_H,9.748309405,60727.2,Physique,CB,99.36,0.33,0.16,0.1,0.05
213566,35055.3,533.77,202452,Carambar,Oct-12,Bron_H,11.89025508,60735.6,Livraison,CB,50.39,25.44,12.72,7.63,3.82
213567,42450.7,698.8,202391,Carambar,janv-11,Bron_E,5.755213777,60717.3,Physique,Esp̬ces,31.31,64.97,1.96,1.17,0.59
213568,49979,606.46,202328,Dragibus,janv-11,Bron_E,10.65633788,60698.4,Physique,CB,96.95,1.57,0.78,0.47,0.23
213569,27478.55,622.97,201041,Carambar,avr-13,Bron_H,17.76223616,60312.3,Livraison,CB,55.77,22.68,11.34,6.8,3.4
213570,27551.7,622.01,201340,Carambar,mai-13,Bron_H,5.348914476,60402,Vente en gros,CB,77.66,11.46,5.73,3.44,1.72
213571,50106,1114,202186,Dragibus,fevr-08,La_pause_bonbon,12.92339045,60655.8,Drive,CB,80.24,10.13,5.07,3.04,1.52
213572,50040,997,202646,Arlequin,fevr-08,Bastille_E,18.56111123,60793.8,Physique,CB,60.18,20.42,10.21,6.13,3.06
213573,27572.6,692.29,201591,Carambar,Sep-13,Bron_H,11.47936168,60477.3,Physique,CB,63.2,18.87,9.44,5.66,2.83
213574,27584.15,512.12,203176,Carambar,Oct-13,Bron_H,13.05662746,60952.8,Drive,CB,95.27,2.43,1.21,0.73,0.36
213575,49868,928,202541,Arlequin,fevr-08,Roubaix_H,9.176680322,60762.3,Click & Collect,Esp̬ces,40.57,54.61,2.54,1.52,0.76
213576,49967,1008,202140,Arlequin,fevr-08,La_pause_bonbon,5.138824481,60642,Physique,CB,63.83,18.55,9.27,5.56,2.78
213577,49956,992,201689,Carambar,fevr-08,Neuilly_Sup,10.01983959,60506.7,Physique,CB,88.56,5.87,2.93,1.76,0.88
213578,20058.8,710.01,201435,Carambar,avr-14,Bron_H,12.41148523,60430.5,Drive,CB,63.1,18.92,9.46,5.68,2.84
213579,20033.6,530.77,202146,Carambar,mai-14,Bron_H,17.74194507,60643.8,Livraison,CB,77.58,11.5,5.75,3.45,1.72
213580,20027.2,726.33,202756,Carambar,Sep-14,Bron_H,13.24823011,60826.8,Physique,CB,50.48,25.39,12.7,7.62,3.81
213581,20004.4,668.53,201447,Carambar,Oct-14,Bron_H,14.88261033,60434.1,Click & Collect,CB,94.16,3,1.5,0.9,0.45
213582,27469.2,502.47,202206,Carambar,janv-13,Neuilly_Sup,6.635399814,60661.8,Physique,Esp̬ces,20.31,77.28,1.27,0.76,0.38
213583,49961,985,201797,Arlequin,janv-01,Roubaix_H,11.59577442,60539.1,Drive,Esp̬ces,18.66,79.13,1.17,0.7,0.35
213584,50091,1053,201065,Arlequin,janv-00,La_pause_bonbon,8.741553176,60319.5,Physique,CB,56.37,22.37,11.19,6.71,3.36
213585,49984,1036,202850,Arlequin,janv-01,La_pause_bonbon,5.302764079,60855,Physique,CB,94.95,2.59,1.3,0.78,0.39
213586,49982,990,201460,Carambar,janv-01,Bron_E,9.167275592,60438,Physique,CB,93.04,3.57,1.79,1.07,0.54
213587,50217,507.43,201843,Guimauve,janv-13,Royal_bonbon,17.29799003,60552.9,Click & Collect,Esp̬ces,35.3,60.5,2.21,1.32,0.66
213588,50046,477.66,202053,Dragibus,janv-13,Royal_bonbon,17.46773477,60615.9,Livraison,CB,55.14,23.01,11.5,6.9,3.45
213589,50141,699.16,202412,Arlequin,janv-13,Royal_bonbon,12.6309714,60723.6,Drive,CB,94.21,2.97,1.49,0.89,0.45
213590,49922,997,202226,Guimauve,janv-02,La_pause_bonbon,13.4886118,60667.8,Physique,CB,81.03,9.73,4.86,2.92,1.46
213591,50132,878,202655,Guimauve,janv-03,La_pause_bonbon,18.29785577,60796.5,Livraison,CB,96.49,1.8,0.9,0.54,0.27
213592,50133,977,203173,Guimauve,janv-04,La_pause_bonbon,7.367472174,60951.9,Livraison,Esp̬ces,1.06,98.81,0.07,0.04,0.02
213593,50132,1091,201726,Guimauve,janv-05,La_pause_bonbon,12.46467073,60517.8,Vente en gros,Esp̬ces,5.3,94.07,0.33,0.2,0.1
213594,50070,1020,202309,Guimauve,janv-06,La_pause_bonbon,18.35452898,60692.7,Physique,CB,86.83,6.75,3.38,2.03,1.01
213595,49958,963,202859,Guimauve,janv-07,La_pause_bonbon,6.867386346,60857.7,Physique,CB,96.54,1.77,0.89,0.53,0.27
213596,49934,1027,202431,Carambar,Nov-02,Cassis_H,13.19839369,60729.3,Drive,CB,93.2,3.49,1.74,1.05,0.52
213597,49856,1035,203134,Carambar,Nov-03,Cassis_H,8.071714521,60940.2,Livraison,Esp̬ces,32.77,63.34,2.05,1.23,0.61
213598,49941,963,201227,Guimauve,fevr-08,Royal_bonbon,8.240701086,60368.1,Physique,CB,55.4,22.87,11.43,6.86,3.43
213599,50000,665.12,202225,Guimauve,janv-11,La_pause_bonbon,11.44369374,60667.5,Click & Collect,Esp̬ces,6.32,92.93,0.39,0.24,0.12
213600,49964,931,201746,Carambar,Sep-05,Cassis_E,10.59213219,60523.8,Livraison,CB,90.83,4.7,2.35,1.41,0.71
213601,49982,985,202552,Carambar,Oct-05,Cassis_E,12.82162043,60765.6,Physique,CB,65.26,17.82,8.91,5.34,2.67
213602,50092,993,201298,Carambar,Nov-04,Cassis_H,5.304726586,60389.4,Physique,CB,61.38,19.81,9.9,5.94,2.97
213603,50010,971,202016,Carambar,Nov-05,Cassis_H,14.4451007,60604.8,Drive,CB,59.66,20.69,10.34,6.21,3.1
213604,49999,657.81,202190,Guimauve,janv-12,La_pause_bonbon,6.050280504,60657,Physique,CB,93.22,3.48,1.74,1.04,0.52
213605,50085,691.45,201987,Guimauve,janv-13,La_pause_bonbon,9.70371251,60596.1,Vente en gros,Virement,29.88,3.74,1.87,63.96,0.56
213606,49979,522.1,202090,Guimauve,janv-14,La_pause_bonbon,9.227121698,60627,Drive,CB,69.98,15.39,7.7,4.62,2.31
213607,50215,974,202217,Carambar,avr-06,Cassis_E,13.27217917,60665.1,Click & Collect,Virement,19.22,2.4,1.2,76.81,0.36
213608,49920,955,200877,Dragibus,fevr-08,Royal_bonbon,17.23887956,60263.1,Livraison,Ch̬que,37.45,4.68,55.77,1.4,0.7
213609,49973,922,202495,Arlequin,fevr-08,Royal_bonbon,16.72977091,60748.5,Physique,Virement,34.05,4.26,2.13,58.93,0.64
213610,50015,976,202740,Carambar,Nov-06,Cassis_H,8.288247192,60822,Physique,Virement,30.45,3.81,1.9,63.27,0.57
213611,49945,976,202792,Carambar,Nov-07,Cassis_H,6.559423395,60837.6,Vente en gros,CB,71.73,14.5,7.25,4.35,2.17
213612,49992,994,201983,Langue de chat,fevr-08,Bron_H,8.62636933,60594.9,Click & Collect,CB,65.68,17.6,8.8,5.28,2.64
213613,50109,981,201975,Langue de chat,fevr-08,Roubaix_E,5.452032516,60592.5,Livraison,CB,75.57,12.53,6.26,3.76,1.88
213614,49888,999,201290,Carambar,mars-08,Bron_H,19.93150503,60387,Physique,CB,78.83,10.86,5.43,3.26,1.63
213615,50096,906,202500,Carambar,mars-08,Cassis_H,6.148114123,60750,Livraison,CB,85.44,7.47,3.73,2.24,1.12
213616,49889,1022,202059,Carambar,mars-08,Roubaix_H,11.71666171,60617.7,Physique,CB,96.28,1.91,0.95,0.57,0.29
213617,42387.8,635.48,201490,Carambar,Nov-11,Cassis_H,11.91231682,60447,Physique,CB,85.97,7.19,3.6,2.16,1.08
213618,49945,1043,201948,Guimauve,mars-08,La_pause_bonbon,5.552700701,60584.4,Physique,CB,83.53,8.45,4.22,2.53,1.27
213619,35026.6,677.9,202381,Carambar,Nov-12,Cassis_H,14.79742509,60714.3,Drive,CB,53.5,23.85,11.92,7.15,3.58
213620,27520.35,550.95,201165,Carambar,Nov-13,Cassis_H,8.199831624,60349.5,Click & Collect,CB,66.51,17.17,8.59,5.15,2.58
213621,49843,1087,201363,Carambar,mars-08,Bron_E,10.06783912,60408.9,Vente en gros,CB,92.4,3.9,1.95,1.17,0.58
213622,50140,986,202260,Dragibus,mars-08,Bron_E,18.63318084,60678,Physique,CB,65.02,17.94,8.97,5.38,2.69
213623,50073,917,203594,Dragibus,mars-08,Bron_H,16.60158184,61078.2,Physique,CB,70.42,15.17,7.58,4.55,2.28
213624,50104,1100,202033,Dragibus,mars-08,Cassis_E,7.248084286,60609.9,Physique,CB,64.78,18.06,9.03,5.42,2.71
213625,50134,964,202151,Dragibus,mars-08,Cassis_H,5.696224866,60645.3,Click & Collect,CB,71.02,14.86,7.43,4.46,2.23
213626,50029,1061,202380,Carambar,mars-08,Roubaix_E,6.556952661,60714,Vente en gros,Ch̬que,13.66,1.71,83.87,0.51,0.26
213627,50054,957,201597,Malabar,juin-00,Bron_E,10.79283561,60479.1,Click & Collect,Esp̬ces,17.18,80.78,1.07,0.64,0.32
